,IMDB Rating,Metascore,Votes,Duration,Gross
0,9.2,100.0,,175,134970000.0
1,9.0,90.0,,202,57300000.0
2,7.7,86.0,56476.0,124,54800000.0
3,8.3,100.0,313044.0,218,44820000.0
4,7.4,73.0,64331.0,113,
5,7.6,90.0,216050.0,138,132090000.0
6,8.5,82.0,348110.0,166,5320000.0
7,7.7,73.0,78858.0,150,45300000.0
8,8.0,96.0,234034.0,137,
9,7.8,80.0,59119.0,124,42770000.0
10,8.5,97.0,,109,32000000.0
11,8.1,86.0,146211.0,130,4360000.0
12,7.9,100.0,106938.0,102,10460000.0
13,8.1,88.0,232645.0,161,44910000.0
14,7.9,69.0,81820.0,197,111720000.0
15,8.8,90.0,,161,6100000.0
16,8.0,78.0,147146.0,118,
17,7.9,73.0,153077.0,80,
18,7.8,83.0,85196.0,113,13470000.0
19,7.7,87.0,121187.0,113,4420000.0
20,8.3,100.0,425385.0,128,3200000.0
21,5.8,31.0,76217.0,104,58850000.0
22,7.1,73.0,53670.0,130,7000000.0
23,7.7,80.0,118842.0,109,7060000.0
24,6.8,77.0,87091.0,118,94210000.0
25,6.4,22.0,156829.0,95,39750000.0
26,8.0,86.0,272254.0,125,50000000.0
27,8.5,100.0,,112,36760000.0
28,7.2,,45330.0,112,
29,7.5,59.0,45881.0,210,46300000.0
30,7.7,95.0,101519.0,170,72000000.0
31,8.5,89.0,,117,78900000.0
32,8.6,90.0,,121,322740000.0
33,8.7,82.0,,124,290480000.0
34,7.4,86.0,205836.0,98,33800000.0
35,8.0,90.0,86587.0,134,8279999.999999999
36,9.0,97.0,,96,4360000.0
37,8.3,100.0,464602.0,119,1590000.0
38,8.1,97.0,181240.0,104,450000.0
39,7.4,74.0,41277.0,153,16800000.0
40,8.4,94.0,,147,83470000.0
41,8.2,75.0,188119.0,105,10000.0
42,8.6,89.0,497634.0,130,
43,8.3,88.0,331928.0,129,
44,8.2,98.0,138377.0,138,10000.0
45,7.9,,76691.0,220,93740000.0
46,8.0,99.0,109503.0,95,2240000.0
47,7.7,73.0,151809.0,93,119500000.0
48,7.4,82.0,67421.0,111,
49,7.0,55.0,115921.0,125,46800000.0
50,8.1,87.0,,124,260000000.0
51,7.7,94.0,135004.0,104,15630000.0
52,8.1,83.0,452972.0,122,232910000.0
53,8.0,75.0,79672.0,131,
54,7.6,84.0,42085.0,201,
55,8.4,85.0,263525.0,149,11490000.0
56,8.0,93.0,124834.0,138,50000.0
57,8.0,95.0,77951.0,174,19520000.0
58,8.1,70.0,,120,117240000.0
59,8.0,92.0,277594.0,93,39200000.0
60,7.7,83.0,134207.0,130,29800000.0
61,7.2,78.0,178878.0,110,16070000.0
62,8.4,97.0,,95,280000.0
63,7.9,86.0,107677.0,172,61700000.0
64,8.2,91.0,,91,1230000.0
65,8.0,77.0,420936.0,94,20050000.0
66,7.2,73.0,23869.0,129,
67,7.9,60.0,213702.0,133,57230000.0
68,8.0,83.0,168404.0,106,86300000.0
69,8.2,86.0,258019.0,172,12100000.0
70,7.4,81.0,75535.0,114,42300000.0
71,7.7,,6227.0,50,
72,6.7,55.0,115093.0,121,35380000.0
73,8.4,86.0,,115,248160000.0
74,8.1,92.0,427106.0,102,2080000.0
75,7.5,79.0,108444.0,153,9250000.0
76,7.6,85.0,50657.0,118,30500000.0
77,8.1,73.0,121085.0,129,9600000.0
78,7.6,86.0,120824.0,153,43660000.0
79,7.6,89.0,97615.0,111,
80,7.9,88.0,28512.0,111,
81,7.9,84.0,53257.0,108,17570000.0
82,7.7,90.0,305684.0,91,47000000.0
83,7.7,74.0,102205.0,128,4910000.0
84,8.1,63.0,259632.0,172,163210000.0
85,8.1,91.0,164105.0,108,9600000.0
86,7.6,90.0,203800.0,119,11400000.0
87,7.3,83.0,181498.0,79,144880000.0
88,8.3,94.0,195905.0,125,18600000.0
89,8.2,98.0,282633.0,121,25000000.0
90,6.8,,1883.0,106,
91,7.4,82.0,186918.0,143,134220000.0
92,7.4,80.0,76703.0,116,81600000.0
93,7.1,61.0,63899.0,94,73690000.0
94,7.9,87.0,142708.0,197,30000000.0
95,8.4,68.0,,146,44020000.0
96,7.8,83.0,146822.0,96,45700000.0
97,8.3,77.0,,136,6210000.0
98,8.1,89.0,182305.0,185,
99,7.8,94.0,95880.0,119,
100,7.7,78.0,259825.0,88,83400000.0
101,8.3,95.0,166862.0,107,5720000.0
102,8.2,78.0,257543.0,124,
103,8.0,83.0,287691.0,106,104950000.0
104,8.0,66.0,226229.0,110,102310000.0
105,7.4,64.0,69960.0,125,21710000.0
106,7.8,79.0,120106.0,113,44790000.0
107,7.9,84.0,125578.0,138,70600000.0
108,7.1,66.0,114264.0,78,37680000.0
109,7.6,65.0,197891.0,78,141840000.0
110,8.1,90.0,378825.0,129,23380000.0
111,8.1,93.0,70261.0,170,23650000.0
112,8.3,60.0,84950.0,179,
113,6.8,,17606.0,162,17260000.0
114,7.5,57.0,138394.0,83,32060000.000000004
115,6.9,79.0,68084.0,116,42370000.0
116,6.7,43.0,112726.0,125,20970000.0
117,7.4,89.0,25043.0,151,58500000.0
118,7.5,96.0,47925.0,87,13780000.0
119,7.6,76.0,146910.0,112,43000000.0
120,7.4,65.0,166303.0,100,139880000.0
121,7.7,87.0,201945.0,110,51080000.0
122,6.9,64.0,50529.0,144,7500000.0
123,6.5,70.0,7442.0,179,31100000.0
124,6.8,83.0,114301.0,127,108190000.0
125,7.2,65.0,101451.0,83,63460000.0
126,7.8,88.0,185401.0,139,102270000.0
127,8.0,79.0,192153.0,112,33400000.0
128,7.9,97.0,113976.0,122,8000000.0
129,8.2,97.0,333116.0,238,198680000.0
130,7.7,75.0,58928.0,178,39100000.0
131,7.9,98.0,90101.0,145,12060000.0
132,7.3,68.0,153393.0,75,1070000.0
133,8.4,76.0,137124.0,116,8180000.0
134,7.8,63.0,48763.0,108,56700000.0
135,7.4,66.0,11290.0,134,
136,8.1,88.0,197709.0,96,
137,8.2,94.0,,114,28260000.0
138,8.3,84.0,,149,56950000.0
139,7.1,70.0,49046.0,117,84560000.0
140,8.1,83.0,169926.0,121,
141,8.1,90.0,360963.0,183,48980000.0
142,7.5,55.0,119852.0,97,30570000.0
143,6.9,84.0,37317.0,100,106400000.0
144,7.8,93.0,53542.0,96,
145,8.3,83.0,278852.0,129,159600000.0
146,7.4,79.0,128901.0,109,
147,7.7,87.0,167738.0,102,35900000.0
148,7.4,73.0,19107.0,102,18750000.0
149,6.7,54.0,107960.0,127,62300000.0
150,7.1,61.0,106132.0,79,22180000.0
151,7.2,85.0,116636.0,95,41730000.0
152,6.8,73.0,221130.0,88,8750000.0
153,7.9,62.0,81636.0,91,
154,7.5,65.0,110192.0,93,22490000.0
155,6.9,43.0,161928.0,129,39570000.0
156,7.5,62.0,130337.0,111,4270000.0
157,8.1,96.0,99604.0,129,60000.0
158,6.2,58.0,30678.0,80,8000000.0
159,7.4,71.0,231650.0,85,2400000.0
160,8.6,98.0,365610.0,207,270000.0
161,8.5,99.0,195367.0,87,20000.0
162,8.4,,236653.0,125,290000.0
163,8.4,90.0,211460.0,88,
164,8.3,98.0,344951.0,136,13280000.0
165,8.3,99.0,259653.0,103,8820000.0
166,8.2,93.0,130835.0,110,
167,8.2,98.0,132025.0,126,5010000.0
168,8.2,74.0,273558.0,132,15000000.0
169,8.1,,97801.0,78,1030000.0
170,8.1,88.0,114520.0,91,
171,8.1,,118245.0,95,5450000.0
172,8.2,85.0,66165.0,131,
173,8.1,87.0,111833.0,105,4360000.0
174,8.1,,69165.0,117,1090000.0
175,8.0,97.0,166167.0,100,2110000.0
176,8.1,86.0,130348.0,85,
177,8.1,96.0,65374.0,121,60000.0
178,8.1,90.0,252559.0,212,74700000.0
179,8.0,,66412.0,108,
180,7.9,,51194.0,88,4360000.0
181,7.9,88.0,140638.0,101,7630000.0
182,8.0,89.0,109870.0,85,9450000.0
183,8.0,97.0,96913.0,92,650000.0
184,7.3,61.0,230452.0,119,
185,7.6,83.0,112625.0,102,25000000.0
186,8.0,67.0,47681.0,181,80500000.0
187,8.0,93.0,52145.0,118,29130000.0
188,7.0,59.0,40593.0,117,18530000.0
189,6.5,59.0,113798.0,120,43820000.0
190,7.8,67.0,225965.0,100,4000000.0
191,7.4,97.0,97730.0,110,115000000.0
192,6.9,77.0,58067.0,129,36140000.0
193,7.0,61.0,27333.0,118,
194,8.0,58.0,138007.0,151,53270000.0
195,8.1,92.0,348380.0,130,
196,7.2,63.0,68825.0,128,70000.0
197,7.6,69.0,34621.0,138,38900000.0
198,6.9,58.0,39174.0,109,103290000.0
199,8.1,94.0,81981.0,123,
200,7.6,77.0,191533.0,115,
201,8.0,93.0,67829.0,141,12540000.0
202,7.3,87.0,126827.0,89,7000000.0
203,7.6,72.0,70052.0,113,
204,8.5,96.0,258495.0,87,160000.0
205,7.8,71.0,128093.0,127,5100000.0
206,7.4,90.0,182631.0,83,30860000.0
207,8.3,,167883.0,117,30000.0
208,8.3,98.0,184838.0,153,1240000.0
209,5.8,,65534.0,117,
210,8.3,,174520.0,89,330000.0
211,7.2,96.0,119118.0,112,3130000.0
212,8.2,,134277.0,68,5450000.0
213,7.9,65.0,231695.0,99,14500000.0
214,7.5,59.0,87998.0,121,35000000.0
215,7.6,75.0,34866.0,108,47740000.0
216,8.1,92.0,187943.0,127,16219999.999999998
217,7.8,80.0,50395.0,64,630000.0
218,8.4,94.0,235594.0,110,
219,7.8,77.0,154134.0,105,106260000.0
220,7.9,92.0,90579.0,100,10000000.0
221,7.6,96.0,214629.0,83,184930000.0
222,7.3,83.0,144836.0,115,24800000.0
223,7.8,76.0,47751.0,114,60000.0
224,6.8,53.0,60814.0,119,25000000.0
225,7.1,54.0,19377.0,131,37120000.0
226,7.5,68.0,40696.0,121,15280000.0
227,8.2,98.0,179684.0,88,100000.0
228,7.8,69.0,79553.0,135,31800000.0
229,7.6,63.0,62696.0,158,
230,8.0,84.0,58646.0,120,
231,7.1,76.0,156644.0,99,25240000.0
232,6.9,64.0,126697.0,130,63600000.0
233,7.9,91.0,97097.0,84,
234,8.3,92.0,87023.0,143,60000.0
235,6.7,61.0,99075.0,142,22800000.0
236,7.6,64.0,39270.0,91,
237,6.8,47.0,55054.0,92,31670000.0
238,7.3,56.0,66890.0,140,34970000.0
239,7.6,86.0,10894.0,101,
240,7.4,75.0,69490.0,115,24950000.0
241,5.8,51.0,84241.0,116,102920000.0
242,4.9,30.0,9520.0,116,31180000.0
243,7.5,87.0,36808.0,112,960000.0
244,6.9,66.0,27882.0,102,
245,6.4,50.0,96307.0,143,82260000.0
246,6.9,59.0,47573.0,118,41090000.0
247,7.0,66.0,70345.0,97,7920000.0
248,6.5,57.0,25078.0,127,12320000.0
249,7.0,56.0,23197.0,164,46500000.0
250,5.9,12.0,91517.0,104,78220000.0
251,6.5,52.0,83136.0,104,39250000.0
252,6.3,71.0,83153.0,111,62100000.0
253,8.3,65.0,,170,45600000.0
254,6.7,56.0,88282.0,97,40470000.0
255,7.3,67.0,153111.0,121,123920000.0
256,6.6,45.0,166973.0,101,38120000.0
257,7.5,68.0,52517.0,150,30040000.0
258,7.1,69.0,85999.0,161,87100000.0
259,6.6,46.0,97032.0,94,23830000.0
260,7.8,73.0,118455.0,109,2500000.0
261,7.1,81.0,85871.0,94,38750000.0
262,8.1,75.0,439627.0,89,52290000.0
263,8.1,92.0,437910.0,120,138530000.0
264,8.0,79.0,239845.0,191,52770000.0
265,6.9,51.0,207635.0,143,165500000.0
266,7.7,62.0,297136.0,114,61500000.0
267,6.0,45.0,60831.0,88,78660000.0
268,7.2,62.0,98745.0,140,35180000.0
269,8.1,85.0,144093.0,162,230000.0
270,8.5,80.0,281602.0,174,11990000.0
271,8.2,57.0,464271.0,109,13780000.0
272,6.6,42.0,91386.0,107,80040000.0
273,8.6,86.0,,118,130740000.00000001
274,8.6,75.0,,137,204840000.0
275,6.8,70.0,62796.0,113,124030000.0
276,7.6,68.0,275427.0,109,65209999.99999999
277,8.5,87.0,,116,210610000.0
278,7.4,66.0,201194.0,105,234760000.0
279,6.7,39.0,87589.0,137,77870000.0
280,7.0,60.0,74261.0,99,63710000.0
281,7.2,63.0,160397.0,97,32220000.0
282,8.1,84.0,,117,32869999.999999996
283,7.4,88.0,114312.0,116,177200000.0
284,6.9,67.0,96629.0,119,156650000.0
285,6.6,58.0,61575.0,108,46700000.0
286,7.3,59.0,200905.0,122,43220000.0
287,7.8,76.0,58898.0,141,34700000.0
288,7.6,89.0,171896.0,130,45360000.0
289,7.5,49.0,219701.0,97,71320000.0
290,6.8,75.0,99418.0,99,63500000.0
291,7.6,77.0,192751.0,96,12470000.0
292,6.9,50.0,499869.0,109,179800000.0
293,7.5,71.0,336688.0,92,73710000.0
294,7.2,86.0,59226.0,100,24740000.0
295,6.7,61.0,116216.0,85,69470000.0
296,7.0,61.0,125774.0,93,23690000.0
297,7.5,78.0,93941.0,126,38410000.0
298,8.4,87.0,426109.0,160,51970000.0
299,7.8,61.0,385026.0,103,70140000.0
300,7.8,57.0,,108,118500000.0
301,8.4,84.0,,137,85160000.0
302,7.8,65.0,110054.0,128,34600000.0
303,8.0,72.0,289252.0,181,184210000.0
304,8.3,58.0,,131,309130000.0
305,5.8,42.0,92863.0,117,45680000.0
306,7.6,70.0,281883.0,102,53420000.0
307,7.9,74.0,,105,56360000.0
308,7.8,66.0,434638.0,97,45880000.0
309,7.1,52.0,234965.0,127,217630000.0
310,7.0,65.0,254997.0,100,620000.0
311,7.7,83.0,216095.0,104,156450000.0
312,7.4,76.0,261288.0,91,25500000.0
313,6.6,49.0,89821.0,96,44790000.0
314,7.5,69.0,402807.0,126,251190000.0
315,7.6,60.0,422680.0,162,66670000.0
316,7.1,51.0,359906.0,119,178410000.0
317,8.7,92.0,,145,46840000.0
318,8.0,78.0,449652.0,98,30860000.0
319,7.7,68.0,128896.0,113,78910000.0
320,6.5,63.0,112624.0,131,67900000.0
321,7.4,55.0,479040.0,118,87730000.0
322,8.1,79.0,,128,95860000.0
323,7.9,79.0,76609.0,128,3330000.0
324,6.3,41.0,176776.0,137,30930000.0
325,7.8,79.0,329706.0,119,76270000.0
326,7.5,60.0,353060.0,113,119390000.0
327,7.8,47.0,452801.0,107,59740000.0
328,6.3,46.0,181695.0,108,30670000.0
329,7.5,80.0,153439.0,108,63490000.0
330,7.3,81.0,117226.0,99,106590000.0
331,7.8,71.0,444953.0,105,238630000.0
332,6.6,56.0,222636.0,108,112490000.0
333,7.6,74.0,74938.0,119,34700000.0
334,8.2,65.0,,127,197170000.0
335,7.3,70.0,188190.0,114,147250000.0
336,7.7,63.0,,103,285760000.0
337,7.1,51.0,107352.0,100,66760000.00000001
338,7.9,92.0,146961.0,82,4740000.0
339,7.7,62.0,133909.0,153,22240000.0
340,8.2,72.0,,132,83010000.0
341,7.1,67.0,382161.0,124,117540000.0
342,8.0,95.0,478330.0,84,218970000.0
343,7.7,75.0,214824.0,120,8550000.0
344,7.3,73.0,18293.0,99,2850000.0
345,7.1,46.0,205643.0,96,38120000.0
346,6.4,63.0,165708.0,93,130720000.0
347,7.8,91.0,65173.0,193,21500000.0
348,6.8,73.0,62168.0,113,64000000.0
349,7.3,79.0,178900.0,114,76610000.0
350,7.9,92.0,435984.0,115,435110000.0
351,7.9,84.0,210718.0,132,9930000.0
352,7.2,75.0,80573.0,120,8620000.0
353,7.0,47.0,58901.0,91,40900000.0
354,7.4,76.0,104199.0,112,68710000.0
355,7.2,75.0,115449.0,145,70000000.0
356,7.3,86.0,95590.0,100,20780000.0
357,8.0,72.0,169398.0,189,70410000.0
358,6.4,59.0,318212.0,114,55470000.0
359,8.3,78.0,,116,46360000.0
360,7.2,68.0,72697.0,90,20500000.0
361,7.6,72.0,159664.0,93,49530000.0
362,8.0,86.0,181729.0,117,500000.0
363,8.0,93.0,111921.0,120,27550000.0
364,7.2,83.0,67909.0,102,80640000.0
365,5.9,51.0,86691.0,93,140090000.0
366,7.7,72.0,181253.0,84,5920000.0
367,6.9,50.0,141211.0,90,40490000.0
368,6.9,57.0,179214.0,99,113500000.0
369,7.0,57.0,170160.0,94,121700000.0
370,6.7,41.0,136799.0,96,81200000.0
371,5.8,39.0,59007.0,87,55600000.0
372,5.4,33.0,48487.0,83,43580000.0
373,7.7,64.0,82979.0,130,82420000.0
374,7.1,69.0,56707.0,126,8080000.0
375,7.8,76.0,153871.0,112,57500000.0
376,7.3,73.0,239181.0,104,114970000.0
377,8.3,75.0,376257.0,229,5320000.0
378,6.3,30.0,72169.0,94,15500000.0
379,6.1,57.0,50760.0,93,21200000.0
380,7.1,62.0,78262.0,106,24920000.0
381,7.7,76.0,241418.0,95,92820000.0
382,6.9,56.0,88531.0,102,59850000.0
383,7.8,75.0,234376.0,107,61280000.0
384,8.1,84.0,,107,38400000.0
385,6.7,59.0,105520.0,130,51190000.0
386,7.5,57.0,127493.0,107,64430000.00000001
387,7.0,46.0,28776.0,123,57040000.0
388,7.5,62.0,191943.0,140,54460000.0
389,7.5,69.0,165134.0,116,90400000.0
390,6.7,51.0,174164.0,90,35100000.0
391,7.0,75.0,62022.0,124,129800000.00000001
392,7.4,79.0,65210.0,132,108420000.0
393,7.2,61.0,95469.0,113,17190000.0
394,7.5,58.0,213865.0,135,122010000.0
395,7.6,76.0,183906.0,85,78760000.0
396,7.4,62.0,117476.0,113,26120000.0
397,7.3,46.0,156243.0,102,20160000.0
398,6.8,44.0,58140.0,103,46910000.0
399,6.9,63.0,102840.0,106,76570000.0
400,6.1,53.0,62221.0,106,75970000.0
401,7.1,43.0,218117.0,127,117730000.0
402,6.9,56.0,139873.0,94,14560000.0
403,6.7,58.0,111726.0,133,34670000.0
404,6.8,69.0,37828.0,114,8800000.0
405,6.3,40.0,104537.0,131,50330000.0
406,6.9,65.0,36314.0,108,54220000.0
407,7.0,24.0,146860.0,116,5900000.0
408,7.3,56.0,164694.0,126,43850000.0
409,7.2,52.0,100562.0,125,14560000.0
410,7.0,45.0,96943.0,91,25600000.0
411,7.3,60.0,243566.0,126,90820000.0
412,6.1,55.0,98516.0,113,115100000.0
413,7.1,77.0,110249.0,114,79570000.0
414,6.6,50.0,66111.0,98,40700000.0
415,7.7,61.0,274205.0,93,47210000.0
416,8.1,100.0,67330.0,188,4970000.0
417,8.1,81.0,117738.0,145,2180000.0
418,6.8,57.0,210459.0,99,125050000.0
419,6.9,40.0,225610.0,91,127870000.0
420,5.4,55.0,150147.0,104,40950000.0
421,6.5,47.0,181821.0,96,150420000.0
422,5.8,40.0,59102.0,93,16059999.999999998
423,5.0,24.0,34061.0,86,10170000.0
424,6.4,50.0,32712.0,122,43860000.0
425,6.4,44.0,41015.0,101,29500000.0
426,8.0,65.0,,133,178800000.0
427,6.8,52.0,272416.0,142,119650000.0
428,7.1,67.0,78634.0,113,8400000.0
429,7.3,73.0,215680.0,128,79100000.0
430,7.5,57.0,,118,179870000.0
431,7.1,47.0,222715.0,117,128150000.0
432,7.8,74.0,157886.0,121,52100000.0
433,6.2,71.0,146959.0,107,36200000.0
434,8.0,68.0,204178.0,124,550000.0
435,7.6,81.0,200979.0,96,40460000.0
436,7.8,78.0,143904.0,122,26830000.0
437,7.3,56.0,62727.0,117,83760000.0
438,6.8,57.0,92092.0,110,21200000.0
439,7.3,65.0,76197.0,117,5020000.0
440,6.6,49.0,68089.0,140,58880000.0
441,7.6,88.0,289895.0,83,111540000.0
442,7.8,97.0,79503.0,103,14740000.0
443,7.1,61.0,41170.0,105,56200000.0
444,8.0,47.0,85130.0,95,22240000.0
445,4.5,52.0,38423.0,115,15170000.0
446,6.2,39.0,59238.0,95,94900000.0
447,7.3,69.0,149711.0,94,22850000.0
448,6.5,67.0,75546.0,109,53210000.0
449,7.6,69.0,128607.0,116,6150000.0
450,6.5,51.0,107946.0,100,139610000.0
451,7.7,78.0,96890.0,154,98470000.0
452,7.1,73.0,59091.0,108,50890000.0
453,7.2,72.0,115172.0,103,1110000.0
454,7.3,73.0,38532.0,171,10010000.0
455,7.3,55.0,119737.0,98,61400000.0
456,7.3,77.0,22251.0,103,13990000.0
457,3.7,24.0,52541.0,90,15680000.0
458,5.0,44.0,74538.0,125,59950000.0
459,7.4,55.0,65450.0,125,17220000.0
460,7.7,76.0,111085.0,163,43980000.0
461,7.0,77.0,61510.0,104,6400000.0
462,6.1,60.0,96070.0,107,82670000.0
463,8.0,78.0,181444.0,125,
464,7.5,67.0,90630.0,137,41900000.0
465,6.8,50.0,67694.0,107,45660000.0
466,7.6,68.0,139691.0,120,52930000.0
467,6.8,70.0,43542.0,96,7830000.0
468,6.2,61.0,161880.0,111,91460000.0
469,6.2,68.0,65550.0,105,103740000.0
470,5.7,,76238.0,87,57110000.0
471,7.3,50.0,149016.0,101,12730000.0
472,7.9,77.0,168430.0,93,20610000.0
473,7.1,61.0,115280.0,90,27090000.0
474,6.8,51.0,104440.0,93,135270000.0
475,6.4,49.0,33469.0,90,13990000.0
476,6.5,63.0,64609.0,85,8270000.0
477,6.2,54.0,19281.0,93,16320000.0
478,6.2,41.0,39616.0,108,24080000.0
479,6.8,78.0,54467.0,91,10360000.0
480,6.7,56.0,35700.0,110,35420000.0
481,6.5,55.0,93068.0,115,61490000.0
482,6.5,63.0,22474.0,115,27730000.0
483,5.8,33.0,30417.0,113,31050000.0
484,7.2,53.0,153166.0,99,11100000.0
485,6.1,68.0,72909.0,134,55500000.0
486,6.4,33.0,60626.0,97,14700000.0
487,6.4,22.0,52821.0,102,60090000.0
488,7.2,69.0,76952.0,103,20770000.0
489,7.2,83.0,47658.0,117,20970000.0
490,6.7,36.0,91904.0,114,30050000.0
491,6.7,58.0,128904.0,96,33000000.0
492,7.2,47.0,129540.0,126,57270000.0
493,7.2,41.0,108695.0,94,14640000.0
494,6.6,44.0,58203.0,90,40900000.0
495,6.8,45.0,83070.0,102,36600000.0
496,7.2,62.0,75934.0,107,49800000.0
497,7.2,64.0,49094.0,133,33200000.000000004
498,7.2,65.0,149591.0,96,16670000.000000002
499,7.4,66.0,98163.0,69,48090000.0
500,6.9,67.0,83314.0,91,560000.0
501,6.9,71.0,244507.0,97,56630000.0
502,8.3,76.0,,170,67440000.0
503,5.4,54.0,265851.0,121,184030000.0
504,7.2,59.0,468782.0,110,180980000.0
505,8.0,72.0,,101,70910000.0
506,9.3,82.0,,142,28340000.0
507,7.5,62.0,292202.0,150,100920000.0
508,7.3,78.0,390316.0,116,121250000.0
509,7.5,82.0,134109.0,111,32030000.0
510,7.7,78.0,314371.0,140,173840000.0
511,7.9,75.0,,194,659330000.0
512,8.1,88.0,,98,24610000.0
513,9.0,95.0,,195,96900000.0
514,7.6,52.0,504100.0,126,63540000.0
